Summary|概览
Version|版本
Transfer to Another Platform|转到平台
Transfer to Another Province|转到省
Transfer to Another Platform|转到平台
Transfer to Another City|转移到城市
Transfer to Another Platform|转到平台
Transfer to Another District|转移到区
Transfer to Another Province|转到省
Transfer to Another Class Teacher|转到班主任
Transfer to Another Platform|转到平台
Transfer to Another Cq|转移到Cq
Transfer to Another Platform|转到平台
Transfer to Another Cq|转移到Cq
Transfer to Another Address|转移到地址
Transfer to Another Wechat User|转移到微信用户
Transfer to Another Platform|转到平台
Transfer to Another Cq|转移到Cq
Transfer to Another Question Type|转换成问题类型
Transfer to Another Platform|转到平台
Transfer to Another Platform|转到平台
Transfer to Another Platform|转到平台
Transfer to Another Question Type|转换成问题类型
Transfer to Another Question Source|转到问题源
Transfer to Another Creator|转移到创造者
Transfer to Another Cq|转移到Cq
Transfer to Another School Class|转班
Transfer to Another Creator|转移到创造者
Transfer to Another Cq|转移到Cq
Transfer to Another Question Type|转换成问题类型
Transfer to Another Class Daily Health Survey|每日健康调查转班
Transfer to Another Class Question|转到课堂问题
Transfer to Another Guardian|转移到监护人
Transfer to Another School Class|转班
Transfer to Another Cq|转移到Cq
Transfer to Another Student|转移到学生
Transfer to Another Survey Status|转换为调查状态
Transfer to Another School Class|转班
Transfer to Another Class Daily Health Survey|每日健康调查转班
Transfer to Another Cq|转移到Cq
Transfer to Another Student Health Survey|转到学生健康调查
Transfer to Another Question|转移到问题
Transfer to Another Cq|转移到Cq
Transfer to Another Platform|转到平台
Transfer to Another Address|转移到地址
Transfer to Another User Type|转换为用户类型
Transfer to Another Platform|转到平台
Transfer to Another Platform|转到平台
Transfer to Another Wechat User|转移到微信用户
Transfer to Another Request Type|转换为请求类型
Transfer to Another Platform|转到平台
Transfer to Another Platform|转到平台
Transfer to Another Domain|转移到域
Transfer to Another Domain|转移到域
Transfer to Another Sec User|传输给Sec用户
Transfer to Another App|转移到应用程序
Transfer to Another App|转移到应用程序
Transfer to Another App|转移到应用程序
Transfer to Another Sec User|传输给Sec用户
Transfer to Another Form|转移到形式
Transfer to Another Form|转移到形式
Transfer to Another Form|转移到形式
Transfer to Another Form|转移到形式
Transfer to Another Container|转移到容器
Transfer to Another Sec User|传输给Sec用户
Transfer to Another Sec User|传输给Sec用户

